"ProcessName","Path","Id"
"aesm_service","C:\WINDOWS\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_46afe571f647787a\aesm_service.exe","12504"
"AggregatorHost","C:\WINDOWS\System32\AggregatorHost.exe","7408"
"AppleMobileDeviceService","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","964"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","11988"
"audiodg","C:\WINDOWS\system32\AUDIODG.EXE","2712"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","6808"
"conhost","C:\WINDOWS\system32\conhost.exe","10644"
"Cortana","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2204.13303.0_x64__8wekyb3d8bbwe\Cortana.exe","3560"
"csrss",,"976"
"csrss",,"1004"
"ctfmon","C:\WINDOWS\system32\ctfmon.exe","10416"
"dasHost","C:\WINDOWS\system32\dashost.exe","5784"
"dasHost","C:\WINDOWS\system32\dashost.exe","7060"
"DAX3API","C:\WINDOWS\System32\DriverStore\FileRepository\dax3_swc_aposvc.inf_amd64_41de6367ef0679f0\DAX3API.exe","3144"
"DAX3API","C:\WINDOWS\System32\DriverStore\FileRepository\DAX3_S~1.INF\DAX3API.exe","4280"
"dllhost","C:\WINDOWS\system32\DllHost.exe","10068"
"dllhost","C:\WINDOWS\system32\DllHost.exe","11512"
"dllhost","C:\WINDOWS\system32\DllHost.exe","12864"
"dptf_helper","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_1da48d5885266bb7\dptf_helper.exe","4088"
"dwm","C:\WINDOWS\system32\dwm.exe","1648"
"esif_uf","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_1da48d5885266bb7\esif_uf.exe","4264"
"explorer","C:\WINDOWS\Explorer.EXE","8500"
"FileCoAuth","C:\Users\derek.bouvia\AppData\Local\Microsoft\OneDrive\23.061.0319.0003\FileCoAuth.exe","772"
"FMService64","C:\WINDOWS\System32\FMService64.exe","3384"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","1220"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","1564"
